id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
13257899,Perfect location meets modern and cozy room,29183268,Fabian,,Mariahilf,48.19315,16.34947,Private room,36,1,7,2016-08-27,0.10,1,0,0,
13259710,Studio Belvedere - Parkview,31271400,Parkview Residences,,Landstra§e,48.202,16.38313,Entire home/apt,99,3,1,2017-04-30,0.02,16,0,0,
12968476,Sunny Room near Türkenschanzpark,3134385,Petra,,Whring,48.23184,16.33696,Private room,24,2,0,,,1,0,0,
13261241,"Wake up with the Sun, near Karlsplatz",74650001,Ernst,,Wieden,48.195,16.36387,Entire home/apt,40,3,15,2017-08-14,0.21,1,0,0,
12970396,"Cousy, big room in the heart of Vienna",9966365,Dominika,,Neubau,48.2045,16.35642,Private room,59,3,3,2017-06-20,0.04,1,0,0,
12974935,Centrally located apartment - very cosy,71358018,Jelena&Dejan,,Margareten,48.18552,16.35633,Entire home/apt,47,2,9,2022-05-27,0.12,1,70,2,
13261509,Mitten im Dritten,74653133,Nina,,Landstra§e,48.20961,16.3934,Private room,28,1,15,2016-08-16,0.21,1,0,0,
13270471,"Central,cozy 20m² room!Vienna calling :)",74764295,Corina,,Neubau,48.19921,16.34881,Private room,45,5,0,,,1,0,0,
12977410,Nice room in shared flat near city center,71107554,Mathias,,Alsergrund,48.22378,16.35066,Private room,39,1,20,2016-09-01,0.27,2,0,0,
13273477,Middle-sized Apartment near Belvedere Palace,57389121,Isabella,,Landstra§e,48.18966,16.38601,Entire home/apt,39,3,2,2016-07-26,0.03,1,0,0,
12993516,"Zimmer in 1140 Wien, gute Lage",5535414,Fabian,,Penzing,48.19011,16.30436,Shared room,50,1,2,2016-12-17,0.03,1,0,0,
13485748,"Friendly, two-room appartment",77227836,Richard,,Dbling,48.24494,16.35025,Entire home/apt,40,5,22,2017-07-29,0.30,1,0,0,
13279345,"Helles, zentrales Zimmer in Wien für der Sommer",74857368,Christina,,Alsergrund,48.22522,16.35424,Private room,30,14,0,,,1,0,0,
13285554,"Central,cozy 20m² Room!Vienna calling :)",74943356,Corina,,Neubau,48.20076,16.34935,Private room,45,6,0,,,2,0,0,
13485814,"Studio - Zentral, modern, konfortabel",19101247,Felix,,Alsergrund,48.22471,16.35638,Entire home/apt,55,4,0,,,2,0,0,
13486145,Cosy and bright apartment,6947719,Kay,,Mariahilf,48.18908,16.34361,Entire home/apt,55,5,3,2016-10-21,0.04,1,0,0,
12995334,private room - perfect located,37820087,Jonas,,Landstra§e,48.20258,16.39662,Private room,23,1,10,2016-08-01,0.14,1,0,0,
12997809,Business apartment in Stephansplatz,71642644,Eli,,Innere Stadt,48.20958,16.37287,Entire home/apt,190,29,0,,,1,0,0,
13286499,Fancy yet Cozy Studio in Margareten,8494302,Dorian,,Margareten,48.18415,16.35994,Entire home/apt,40,1,292,2022-05-24,4.17,4,257,36,
13001926,nice room in the center of vienna,40868273,Tobias,,Leopoldstadt,48.21337,16.38492,Private room,22,2,4,2016-08-20,0.05,1,0,0,
13009052,"Classic 19th Century, central & Quiet (16)",29494065,Amadeus,,Hernals,48.22071,16.32993,Entire home/apt,35,2,32,2020-08-29,0.45,12,0,0,
13486274,Comfy bright clean Room in huge super central flat,31525359,Marian,,Mariahilf,48.19291,16.34065,Private room,30,2,8,2016-12-11,0.11,1,0,0,
13487238,Nice and central appartment with balcony,44625338,Anna,,Josefstadt,48.21086,16.35237,Entire home/apt,40,1,13,2017-02-12,0.18,1,0,0,
13303711,central and bright flat along the river,75141141,Dorothee,,Alsergrund,48.22627,16.3654,Entire home/apt,44,4,2,2016-06-20,0.03,1,0,0,
13490546,Modern and Full equipped appartment in Vienna,7692399,David,,Alsergrund,48.22919,16.35418,Entire home/apt,120,7,0,,,1,0,0,
13009175,Hübsche Altbauwohnung,59142897,Lisa,,Neubau,48.20585,16.3451,Entire home/apt,45,1,4,2016-07-29,0.05,1,0,0,
13303759,SM-Appartment-Wien,75150060,Frank,,Favoriten,48.17376,16.3709,Entire home/apt,150,1,0,,,1,0,0,
13014300,"quiet and sunny apartment, urban and green",11262087,Lele,,Hernals,48.22242,16.32049,Entire home/apt,48,3,1,2016-06-21,0.01,1,0,0,
13492534,Centrally located apartment perfect for couples,9711579,Sebastian,,Mariahilf,48.19545,16.34735,Entire home/apt,65,2,32,2021-09-26,0.45,1,0,3,
13303788,Comfy oasis in the middle of Vienna,5292791,Renate,,Mariahilf,48.19382,16.35158,Entire home/apt,65,3,128,2020-03-18,1.80,1,0,0,
13493539,Stunning View from the 26th floor-Near to Center,77344915,Daniel,,Donaustadt,48.23012,16.41673,Entire home/apt,47,1,155,2020-05-06,2.15,1,0,0,
13308104,Apartment Central 2 Rooms,44265150,Klaus,,Landstra§e,48.19969,16.39807,Entire home/apt,74,18,42,2021-11-09,0.58,1,0,3,
13494512,"Peaceful and cozy flat, local feel",77360121,Emily,,Hernals,48.22277,16.3304,Private room,31,1,0,,,1,0,0,
13499617,Zentrales Apartment in der Josefstadt!,48848334,Simone,,Josefstadt,48.20817,16.3484,Entire home/apt,30,2,3,2016-07-25,0.04,1,0,0,
13017399,Brand New - City Apartment - Quiet,71848288,Alice,,Wieden,48.19261,16.36745,Entire home/apt,47,2,262,2022-05-24,3.56,6,49,38,
13021822,"Elegante, klassisch eingerichtete Wiener Altbauwohnung in der Josefstadt",71903645,"Barbara, Niko, Julia",,Josefstadt,48.20752,16.34759,Entire home/apt,699,2,206,2021-08-16,2.81,1,84,7,
13310216,"Zentraler, gemütlicher Altbau",19238574,Heinrich,,Neubau,48.20521,16.35501,Private room,34,2,8,2016-10-17,0.11,1,0,0,
13029229,One room with two bed and one couch,66576830,Yusuf,,Margareten,48.18677,16.36095,Private room,22,2,62,2017-12-27,0.84,1,0,0,
13501330,Spacious 1-bedroom apartment near Naschmarkt,64388242,Renate,,Wieden,48.19569,16.3667,Entire home/apt,95,7,5,2022-05-27,0.14,7,101,3,
13310580,Zimmer in Superlage/Zentrum Wien,1885604,Bernhard,,Neubau,48.20344,16.35166,Private room,12,1,0,,,1,0,0,
13043015,"Strategico, ottimo per coppie",68334072,Sherlin,,Margareten,48.18226,16.35284,Entire home/apt,42,1,4,2017-06-14,0.06,1,0,0,
13314111,Room in great apartment near central Vienna,26231340,Chris,,Mariahilf,48.19555,16.34921,Private room,32,1,2,2018-07-01,0.03,1,0,0,
